,Year,Jurisdiction,Type,Stream,Management,Tonnes
48071,2012,Vic,Tyres (T140),Total,Landfill,54.081738230729435
48070,2012,Vic,Tyres (T140),Total,Energy from waste facility,34.00011496234983
47687,2012,Tas,Tyres (T140),Total,Recycling,10.566753143085213
47685,2012,Tas,Tyres (T140),Total,Landfill,61.434843344641784
47684,2012,Tas,Tyres (T140),Total,Energy from waste facility,27.998403512273
47301,2012,SA,Tyres (T140),Total,Recycling,5.999866372686577
47299,2012,SA,Tyres (T140),Total,Landfill,37.001403086790944
47298,2012,SA,Tyres (T140),Total,Energy from waste facility,56.99873054052248
46915,2012,Qld,Tyres (T140),Total,Recycling,15.20798858773181
46913,2012,Qld,Tyres (T140),Total,Landfill,69.79172610556348
46912,2012,Qld,Tyres (T140),Total,Energy from waste facility,15.000285306704708
46529,2012,NT,Tyres (T140),Total,Recycling,10.569105691056912
46527,2012,NT,Tyres (T140),Total,Landfill,61.43704680290046
46526,2012,NT,Tyres (T140),Total,Energy from waste facility,27.99384750604263
46143,2012,NSW,Tyres (T140),Total,Recycling,8.363379147059112
46141,2012,NSW,Tyres (T140),Total,Landfill,63.63654225898673
46140,2012,NSW,Tyres (T140),Total,Energy from waste facility,28.000078593954157
45757,2012,ACT,Tyres (T140),Total,Recycling,10.56123859552115
45755,2012,ACT,Tyres (T140),Total,Landfill,61.432126071329826
45754,2012,ACT,Tyres (T140),Total,Energy from waste facility,28.006635333149017
45371,2013,WA,Tyres (T140),Total,Recycling,9.0004276087822
45369,2013,WA,Tyres (T140),Total,Landfill,73.00019168669547
45368,2013,WA,Tyres (T140),Total,Energy from waste facility,17.99938070452233
44985,2013,Vic,Tyres (T140),Total,Recycling,11.918591561979378
44983,2013,Vic,Tyres (T140),Total,Landfill,54.08167859876627
44982,2013,Vic,Tyres (T140),Total,Energy from waste facility,33.99972983925436
44599,2013,Tas,Tyres (T140),Total,Recycling,10.570402871958516
44597,2013,Tas,Tyres (T140),Total,Landfill,61.428001595532514
44596,2013,Tas,Tyres (T140),Total,Energy from waste facility,28.001595532508976
44213,2013,SA,Tyres (T140),Total,Recycling,5.99854420328216
44211,2013,SA,Tyres (T140),Total,Landfill,37.0003970354685
44210,2013,SA,Tyres (T140),Total,Energy from waste facility,57.00105876124933
43827,2013,Qld,Tyres (T140),Total,Recycling,15.208151578193856
43825,2013,Qld,Tyres (T140),Total,Landfill,69.79173657248954
43824,2013,Qld,Tyres (T140),Total,Energy from waste facility,15.0001118493166
43441,2013,NT,Tyres (T140),Total,Recycling,10.572404955147373
43439,2013,NT,Tyres (T140),Total,Landfill,61.426740709098674
43438,2013,NT,Tyres (T140),Total,Energy from waste facility,28.00085433575395
43055,2013,NSW,Tyres (T140),Total,Recycling,8.363470656104868
43053,2013,NSW,Tyres (T140),Total,Landfill,63.63645177866763
43052,2013,NSW,Tyres (T140),Total,Energy from waste facility,28.00007756522751
42669,2013,ACT,Tyres (T140),Total,Recycling,10.576142818501488
42667,2013,ACT,Tyres (T140),Total,Landfill,61.428185014876924
42666,2013,ACT,Tyres (T140),Total,Energy from waste facility,27.99567216662158
42059,2014,WA,Tyres (T140),Total,Recycling,8.999435363611356
42057,2014,WA,Tyres (T140),Total,Landfill,73.00024612355402
42056,2014,WA,Tyres (T140),Total,Energy from waste facility,18.00031851283462
41413,2014,Vic,Tyres (T140),Total,Recycling,11.918582238327588
41411,2014,Vic,Tyres (T140),Total,Landfill,54.081351675826895
41410,2014,Vic,Tyres (T140),Total,Energy from waste facility,34.00006608584552
40787,2014,Tas,Tyres (T140),Total,Recycling,10.567164179104479
40785,2014,Tas,Tyres (T140),Total,Landfill,61.43283582089553
40784,2014,Tas,Tyres (T140),Total,Energy from waste facility,28.000000000000004
40137,2014,SA,Tyres (T140),Total,Recycling,6.0
40135,2014,SA,Tyres (T140),Total,Landfill,37.0
40134,2014,SA,Tyres (T140),Total,Energy from waste facility,56.99999999999999
39519,2014,Qld,Tyres (T140),Total,Recycling,15.208280626106852
39517,2014,Qld,Tyres (T140),Total,Landfill,69.79133438197798
39516,2014,Qld,Tyres (T140),Total,Energy from waste facility,15.000384991915169
38921,2014,NT,Tyres (T140),Total,Recycling,10.563973063973064
38919,2014,NT,Tyres (T140),Total,Landfill,61.42676767676768
38918,2014,NT,Tyres (T140),Total,Energy from waste facility,28.009259259259263
38338,2014,NSW,Tyres (T140),Total,Recycling,8.363528590686158
38336,2014,NSW,Tyres (T140),Total,Landfill,63.6366243773722
38335,2014,NSW,Tyres (T140),Total,Energy from waste facility,27.999847031941645
37723,2014,ACT,Tyres (T140),Total,Recycling,10.57947900053163
37721,2014,ACT,Tyres (T140),Total,Landfill,61.430090377458804
37720,2014,ACT,Tyres (T140),Total,Energy from waste facility,27.990430622009573
37064,2015,WA,Tyres (T140),Total,Recycling,8.999601094141783
37062,2015,WA,Tyres (T140),Total,Landfill,72.99977205379531
37061,2015,WA,Tyres (T140),Total,Energy from waste facility,18.00062685206291
36418,2015,Vic,Tyres (T140),Total,Recycling,11.918532639719109
36416,2015,Vic,Tyres (T140),Total,Landfill,54.08144581946643
36415,2015,Vic,Tyres (T140),Total,Energy from waste facility,34.00002154081446
35792,2015,Tas,Tyres (T140),Total,Recycling,10.564356435643564
35790,2015,Tas,Tyres (T140),Total,Landfill,61.43564356435643
35789,2015,Tas,Tyres (T140),Total,Energy from waste facility,28.000000000000004
35143,2015,SA,Tyres (T140),Total,Recycling,5.998895709506642
35141,2015,SA,Tyres (T140),Total,Landfill,37.000227353925105
35140,2015,SA,Tyres (T140),Total,Energy from waste facility,57.000876936568254
34528,2015,Qld,Tyres (T140),Total,Recycling,15.207952096845798
34526,2015,Qld,Tyres (T140),Total,Landfill,69.7919937630613
34525,2015,Qld,Tyres (T140),Total,Energy from waste facility,15.000054140092905
33930,2015,NT,Tyres (T140),Total,Recycling,10.57154276578737
33928,2015,NT,Tyres (T140),Total,Landfill,61.4308553157474
33927,2015,NT,Tyres (T140),Total,Energy from waste facility,27.997601918465225
33312,2015,NSW,Tyres (T140),Total,Recycling,8.364038988619244
33310,2015,NSW,Tyres (T140),Total,Landfill,63.636033615885864
33309,2015,NSW,Tyres (T140),Total,Energy from waste facility,27.99992739549489
32684,2015,ACT,Tyres (T140),Total,Recycling,10.578685519769573
32682,2015,ACT,Tyres (T140),Total,Landfill,61.42969363707776
32681,2015,ACT,Tyres (T140),Total,Energy from waste facility,27.99162084315266
32037,2016,WA,Tyres (T140),Total,Recycling,9.00011317338162
32035,2016,WA,Tyres (T140),Total,Landfill,72.99966047985514
32034,2016,WA,Tyres (T140),Total,Energy from waste facility,18.00022634676324
31397,2016,Vic,Tyres (T140),Total,Recycling,11.918010327747918
31395,2016,Vic,Tyres (T140),Total,Landfill,54.081568131520704
31394,2016,Vic,Tyres (T140),Total,Energy from waste facility,34.000421540731374
30782,2016,Tas,Tyres (T140),Total,Recycling,10.566933808251706
30780,2016,Tas,Tyres (T140),Total,Landfill,61.43267042643712
30779,2016,Tas,Tyres (T140),Total,Energy from waste facility,28.00039576531117
30124,2016,SA,Tyres (T140),Total,Recycling,6.000129802699896
30122,2016,SA,Tyres (T140),Total,Landfill,37.00025960539979
30121,2016,SA,Tyres (T140),Total,Energy from waste facility,56.99961059190031
29517,2016,Qld,Tyres (T140),Total,Recycling,15.207944706224863
29515,2016,Qld,Tyres (T140),Total,Landfill,69.79221703453705
29514,2016,Qld,Tyres (T140),Total,Energy from waste facility,14.999838259238093
28924,2016,NT,Tyres (T140),Total,Recycling,10.57258791704238
28922,2016,NT,Tyres (T140),Total,Landfill,61.429215509467994
28921,2016,NT,Tyres (T140),Total,Energy from waste facility,27.99819657348963
28322,2016,NSW,Tyres (T140),Total,Recycling,8.363824083466165
28320,2016,NSW,Tyres (T140),Total,Landfill,63.63661063613969
28319,2016,NSW,Tyres (T140),Total,Energy from waste facility,27.999565280394144
27711,2016,ACT,Tyres (T140),Total,Recycling,10.576923076923077
27709,2016,ACT,Tyres (T140),Total,Landfill,61.43451143451143
27708,2016,ACT,Tyres (T140),Total,Energy from waste facility,27.988565488565488
27060,2017,WA,Tyres (T140),Total,Recycling,8.9999713376709
27058,2017,WA,Tyres (T140),Total,Landfill,73.0000859869873
27057,2017,WA,Tyres (T140),Total,Energy from waste facility,17.9999426753418
26418,2017,Vic,Tyres (T140),Total,Recycling,11.918283137655267
26416,2017,Vic,Tyres (T140),Total,Landfill,54.08158924621406
26415,2017,Vic,Tyres (T140),Total,Energy from waste facility,34.000127616130676
25801,2017,Tas,Tyres (T140),Total,Recycling,10.569507613209412
25799,2017,Tas,Tyres (T140),Total,Landfill,61.429701403994464
25798,2017,Tas,Tyres (T140),Total,Energy from waste facility,28.000790982796126
25145,2017,SA,Tyres (T140),Total,Recycling,6.001361735239763
25143,2017,SA,Tyres (T140),Total,Landfill,37.00029180040852
25142,2017,SA,Tyres (T140),Total,Energy from waste facility,56.99834646435171
24540,2017,Qld,Tyres (T140),Total,Recycling,15.208297518766834
24538,2017,Qld,Tyres (T140),Total,Landfill,69.79198899776517
24537,2017,Qld,Tyres (T140),Total,Energy from waste facility,14.999713483467996
23947,2017,NT,Tyres (T140),Total,Recycling,10.560859188544153
23945,2017,NT,Tyres (T140),Total,Landfill,61.43595863166269
23944,2017,NT,Tyres (T140),Total,Energy from waste facility,28.003182179793157
23337,2017,NSW,Tyres (T140),Total,Recycling,8.36361007176039
23335,2017,NSW,Tyres (T140),Total,Landfill,63.63628147425121
23334,2017,NSW,Tyres (T140),Total,Energy from waste facility,28.000108453988393
22680,2017,ACT,Tyres (T140),Total,Recycling,10.576674424618568
22678,2017,ACT,Tyres (T140),Total,Landfill,61.41711921386087
22677,2017,ACT,Tyres (T140),Total,Energy from waste facility,28.006206361520558
22022,2018,WA,Tyres (T140),Total,Recycling,34.166849615806804
22020,2018,WA,Tyres (T140),Total,Landfill,31.49945115257958
22019,2018,WA,Tyres (T140),Total,Energy from waste facility,34.333699231613615
21384,2018,Vic,Tyres (T140),Total,Recycling,32.732524552281916
21382,2018,Vic,Tyres (T140),Total,Landfill,23.89548060258632
21381,2018,Vic,Tyres (T140),Total,Energy from waste facility,43.37199484513176
20767,2018,Tas,Tyres (T140),Total,Recycling,40.74074074074074
20765,2018,Tas,Tyres (T140),Total,Landfill,25.925925925925924
20764,2018,Tas,Tyres (T140),Total,Energy from waste facility,33.33333333333333
20111,2018,SA,Tyres (T140),Total,Recycling,36.54509044351794
20109,2018,SA,Tyres (T140),Total,Landfill,21.926397688848034
20108,2018,SA,Tyres (T140),Total,Energy from waste facility,41.52851186763402
19477,2018,Qld,Tyres (T140),Total,Recycling,43.072027107468294
19475,2018,Qld,Tyres (T140),Total,Landfill,28.714684738312197
19474,2018,Qld,Tyres (T140),Total,Energy from waste facility,28.21328815421952
18877,2018,NT,Tyres (T140),Total,Recycling,39.986091794158554
18875,2018,NT,Tyres (T140),Total,Landfill,37.78395920259619
18874,2018,NT,Tyres (T140),Total,Energy from waste facility,22.22994900324525
18263,2018,NSW,Tyres (T140),Total,Recycling,32.16181756625343
18261,2018,NSW,Tyres (T140),Total,Landfill,33.0024563652997
18260,2018,NSW,Tyres (T140),Total,Energy from waste facility,34.835726068446874
17604,2018,ACT,Tyres (T140),Total,Recycling,22.639440866109357
17602,2018,ACT,Tyres (T140),Total,Landfill,26.42181718514458
17601,2018,ACT,Tyres (T140),Total,Energy from waste facility,50.938741948746056
16926,2019,WA,Tyres (T140),Total,Recycling,34.166226564562976
16924,2019,WA,Tyres (T140),Total,Landfill,31.500858199102193
16923,2019,WA,Tyres (T140),Total,Energy from waste facility,34.332915236334834
16264,2019,Vic,Tyres (T140),Total,Recycling,32.73213152555704
16262,2019,Vic,Tyres (T140),Total,Landfill,23.895537461903526
16261,2019,Vic,Tyres (T140),Total,Energy from waste facility,43.37233101253944
15631,2019,Tas,Tyres (T140),Total,Recycling,40.73768235617947
15629,2019,Tas,Tyres (T140),Total,Landfill,25.928984310487202
15628,2019,Tas,Tyres (T140),Total,Energy from waste facility,33.33333333333333
14959,2019,SA,Tyres (T140),Total,Recycling,36.54433257551153
14957,2019,SA,Tyres (T140),Total,Landfill,21.92594998376096
14956,2019,SA,Tyres (T140),Total,Energy from waste facility,41.52971744072751
14269,2019,Qld,Tyres (T140),Total,Recycling,43.072238199966165
14267,2019,Qld,Tyres (T140),Total,Landfill,28.71515718451143
14266,2019,Qld,Tyres (T140),Total,Energy from waste facility,28.21260461552241
13649,2019,NT,Tyres (T140),Total,Recycling,39.99582724807011
13647,2019,NT,Tyres (T140),Total,Landfill,37.78426872522429
13646,2019,NT,Tyres (T140),Total,Energy from waste facility,22.21990402670561
13020,2019,NSW,Tyres (T140),Total,Recycling,32.16211934916911
13018,2019,NSW,Tyres (T140),Total,Landfill,33.002436467047346
13017,2019,NSW,Tyres (T140),Total,Energy from waste facility,34.83544418378354
12309,2019,ACT,Tyres (T140),Total,Recycling,22.638014079288627
12307,2019,ACT,Tyres (T140),Total,Landfill,26.41719155242683
12306,2019,ACT,Tyres (T140),Total,Energy from waste facility,50.944794368284555
11629,2020,WA,Tyres (T140),Total,Recycling,34.166226564562976
11627,2020,WA,Tyres (T140),Total,Landfill,31.500858199102193
11626,2020,WA,Tyres (T140),Total,Energy from waste facility,34.332915236334834
10884,2020,Vic,Tyres (T140),Total,Recycling,32.73213152555704
10882,2020,Vic,Tyres (T140),Total,Landfill,23.895537461903526
10881,2020,Vic,Tyres (T140),Total,Energy from waste facility,43.37233101253944
10176,2020,Tas,Tyres (T140),Total,Recycling,40.73768235617947
10174,2020,Tas,Tyres (T140),Total,Landfill,25.928984310487202
10173,2020,Tas,Tyres (T140),Total,Energy from waste facility,33.33333333333333
9455,2020,SA,Tyres (T140),Total,Recycling,36.54433257551153
9453,2020,SA,Tyres (T140),Total,Landfill,21.92594998376096
9452,2020,SA,Tyres (T140),Total,Energy from waste facility,41.52971744072751
8724,2020,Qld,Tyres (T140),Total,Recycling,43.072238199966165
8722,2020,Qld,Tyres (T140),Total,Landfill,28.71515718451143
8721,2020,Qld,Tyres (T140),Total,Energy from waste facility,28.21260461552241
8039,2020,NT,Tyres (T140),Total,Recycling,39.99582724807011
8037,2020,NT,Tyres (T140),Total,Landfill,37.78426872522429
8036,2020,NT,Tyres (T140),Total,Energy from waste facility,22.21990402670561
7334,2020,NSW,Tyres (T140),Total,Recycling,32.162115799130355
7332,2020,NSW,Tyres (T140),Total,Landfill,33.00193172579935
7331,2020,NSW,Tyres (T140),Total,Energy from waste facility,34.8359524750703
6603,2020,ACT,Tyres (T140),Total,Recycling,22.638014079288627
6601,2020,ACT,Tyres (T140),Total,Landfill,26.41719155242683
6600,2020,ACT,Tyres (T140),Total,Energy from waste facility,50.944794368284555
5840,2021,WA,Tyres (T140),Total,Recycling,34.166062656036075
5838,2021,WA,Tyres (T140),Total,Landfill,31.50036240637835
5837,2021,WA,Tyres (T140),Total,Energy from waste facility,34.33357493758557
5081,2021,Vic,Tyres (T140),Total,Recycling,32.73230650615921
5079,2021,Vic,Tyres (T140),Total,Landfill,23.895635108377576
5078,2021,Vic,Tyres (T140),Total,Energy from waste facility,43.37205838546321
4356,2021,Tas,Tyres (T140),Total,Recycling,40.746080374842315
4354,2021,Tas,Tyres (T140),Total,Landfill,25.92358983600649
4353,2021,Tas,Tyres (T140),Total,Energy from waste facility,33.3303297891512
3627,2021,SA,Tyres (T140),Total,Recycling,36.543565147881694
3625,2021,SA,Tyres (T140),Total,Landfill,21.928057553956833
3624,2021,SA,Tyres (T140),Total,Energy from waste facility,41.52837729816147
2881,2021,Qld,Tyres (T140),Total,Recycling,43.07232122978035
2879,2021,Qld,Tyres (T140),Total,Landfill,28.714558144487572
2878,2021,Qld,Tyres (T140),Total,Energy from waste facility,28.213120625732067
2174,2021,NT,Tyres (T140),Total,Recycling,40.0
2172,2021,NT,Tyres (T140),Total,Landfill,37.775467775467774
2171,2021,NT,Tyres (T140),Total,Energy from waste facility,22.224532224532226
1461,2021,NSW,Tyres (T140),Total,Recycling,32.16207820728615
1459,2021,NSW,Tyres (T140),Total,Landfill,33.002232223482416
1458,2021,NSW,Tyres (T140),Total,Energy from waste facility,34.835689569231434
459,2021,ACT,Tyres (T140),Total,Recycling,22.644598035649327
457,2021,ACT,Tyres (T140),Total,Landfill,26.409603492178974
456,2021,ACT,Tyres (T140),Total,Energy from waste facility,50.9457984721717
